	id	label	sentence1
56	296	None	anecdotes They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.
57	296	Negative	food They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.
58	296	None	ambience They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.
59	296	None	service They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.
60	1793	None	price It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!
61	1793	None	anecdotes It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!
62	1793	None	food It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!
63	1793	None	ambience It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!
65	2200	None	price The design and atmosphere is just as good.
66	2200	None	anecdotes The design and atmosphere is just as good.
67	2200	None	food The design and atmosphere is just as good.
68	2200	Positive	ambience The design and atmosphere is just as good.
69	2200	None	service The design and atmosphere is just as good.
70	3195	None	price He has visited Thailand and is quite expert on the cuisine.
71	3195	None	anecdotes He has visited Thailand and is quite expert on the cuisine.
72	3195	Positive	food He has visited Thailand and is quite expert on the cuisine.
73	3195	None	ambience He has visited Thailand and is quite expert on the cuisine.
74	3195	None	service He has visited Thailand and is quite expert on the cuisine.
75	3119	None	price I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
76	3119	Positive	anecdotes I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
77	3119	None	food I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
78	3119	None	ambience I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
79	3119	None	service I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
80	3359	None	price The pizza is the best if you like thin crusted pizza.
81	3359	None	anecdotes The pizza is the best if you like thin crusted pizza.
82	3359	Positive	food The pizza is the best if you like thin crusted pizza.
83	3359	None	ambience The pizza is the best if you like thin crusted pizza.
84	3359	None	service The pizza is the best if you like thin crusted pizza.
85	70	None	price My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
86	70	Positive	anecdotes My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
87	70	None	food My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
88	70	None	ambience My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
89	70	None	service My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
90	1829	None	price He can't help, they're bought up so fast.
92	1829	None	food He can't help, they're bought up so fast.
93	1829	None	ambience He can't help, they're bought up so fast.
94	1829	None	service He can't help, they're bought up so fast.
95	2935	None	price Secondly, on this night the place was overwhelmed by upper east side ladies perfume.
96	2935	None	anecdotes Secondly, on this night the place was overwhelmed by upper east side ladies perfume.
97	2935	None	food Secondly, on this night the place was overwhelmed by upper east side ladies perfume.
98	2935	Negative	ambience Secondly, on this night the place was overwhelmed by upper east side ladies perfume.
99	2935	None	service Secondly, on this night the place was overwhelmed by upper east side ladies perfume.
100	1805	None	price i have eaten here a handful of times, for no reason besides sheer convenience.
102	1805	None	food i have eaten here a handful of times, for no reason besides sheer convenience.
103	1805	None	ambience i have eaten here a handful of times, for no reason besides sheer convenience.
104	1805	None	service i have eaten here a handful of times, for no reason besides sheer convenience.
105	2559	None	price Obviously run by folks who know a pie.
106	2559	None	anecdotes Obviously run by folks who know a pie.
107	2559	None	food Obviously run by folks who know a pie.
108	2559	None	ambience Obviously run by folks who know a pie.
109	2559	Positive	service Obviously run by folks who know a pie.
110	716	None	price We were very disappointed.
111	716	Negative	anecdotes We were very disappointed.
112	716	None	food We were very disappointed.
113	716	None	ambience We were very disappointed.
114	716	None	service We were very disappointed.
115	2464	Positive	price IT IS DEFINITELY SPECIAL AND AFFORDABLE.
116	2464	Positive	anecdotes IT IS DEFINITELY SPECIAL AND AFFORDABLE.
117	2464	None	food IT IS DEFINITELY SPECIAL AND AFFORDABLE.
118	2464	None	ambience IT IS DEFINITELY SPECIAL AND AFFORDABLE.
119	2464	None	service IT IS DEFINITELY SPECIAL AND AFFORDABLE.
120	385	None	price I really liked this place.
121	385	Positive	anecdotes I really liked this place.
122	385	None	food I really liked this place.
123	385	None	ambience I really liked this place.
124	385	None	service I really liked this place.
125	1350	None	price I will be going back very soon.
126	1350	Positive	anecdotes I will be going back very soon.
127	1350	None	food I will be going back very soon.
128	1350	None	ambience I will be going back very soon.
129	1350	None	service I will be going back very soon.
130	3534	None	price All the money went into the interior decoration, none of it went to the chefs.
131	3534	None	anecdotes All the money went into the interior decoration, none of it went to the chefs.
132	3534	Negative	food All the money went into the interior decoration, none of it went to the chefs.
133	3534	Positive	ambience All the money went into the interior decoration, none of it went to the chefs.
134	3534	None	service All the money went into the interior decoration, none of it went to the chefs.
135	1407	None	price The seats are uncomfortable if you are sitting against the wall on wooden benches.
136	1407	None	anecdotes The seats are uncomfortable if you are sitting against the wall on wooden benches.
137	1407	None	food The seats are uncomfortable if you are sitting against the wall on wooden benches.
138	1407	Negative	ambience The seats are uncomfortable if you are sitting against the wall on wooden benches.
139	1407	None	service The seats are uncomfortable if you are sitting against the wall on wooden benches.
140	565	None	price I asked for seltzer with lime, no ice.
141	565	None	anecdotes I asked for seltzer with lime, no ice.
143	565	None	ambience I asked for seltzer with lime, no ice.
144	565	None	service I asked for seltzer with lime, no ice.
145	387	Positive	price It was pretty inexpensive too.
146	387	None	anecdotes It was pretty inexpensive too.
147	387	None	food It was pretty inexpensive too.
148	387	None	ambience It was pretty inexpensive too.
149	387	None	service It was pretty inexpensive too.
150	1314	None	price Will not be back.
151	1314	Negative	anecdotes Will not be back.
152	1314	None	food Will not be back.
153	1314	None	ambience Will not be back.
154	1314	None	service Will not be back.
155	675	None	price Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.
156	675	None	anecdotes Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.
157	675	Positive	food Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.
158	675	None	ambience Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.
159	675	None	service Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.
160	2227	None	price My suggestion is to eat family style because you'll want to try the other dishes.
161	2227	None	anecdotes My suggestion is to eat family style because you'll want to try the other dishes.
163	2227	None	ambience My suggestion is to eat family style because you'll want to try the other dishes.
164	2227	None	service My suggestion is to eat family style because you'll want to try the other dishes.
165	3367	None	price Best of all is the warm vibe, the owner is super friendly and service is fast.
166	3367	None	anecdotes Best of all is the warm vibe, the owner is super friendly and service is fast.
167	3367	None	food Best of all is the warm vibe, the owner is super friendly and service is fast.
168	3367	Positive	ambience Best of all is the warm vibe, the owner is super friendly and service is fast.
169	3367	Positive	service Best of all is the warm vibe, the owner is super friendly and service is fast.
170	1210	Negative	price This isn't a value joint.
171	1210	None	anecdotes This isn't a value joint.
172	1210	None	food This isn't a value joint.
173	1210	None	ambience This isn't a value joint.
174	1210	None	service This isn't a value joint.
175	2191	None	price Faan's got a great concept but a little rough on the delivery.
176	2191	Positive	anecdotes Faan's got a great concept but a little rough on the delivery.
177	2191	None	food Faan's got a great concept but a little rough on the delivery.
178	2191	None	ambience Faan's got a great concept but a little rough on the delivery.
179	2191	Negative	service Faan's got a great concept but a little rough on the delivery.
180	270	None	price From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.
181	270	None	anecdotes From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.
182	270	Positive	food From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.
183	270	Positive	ambience From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.
184	270	Positive	service From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.
185	638	Positive	price Great food at REASONABLE prices, makes for an evening that can't be beat!
186	638	None	anecdotes Great food at REASONABLE prices, makes for an evening that can't be beat!
187	638	Positive	food Great food at REASONABLE prices, makes for an evening that can't be beat!
188	638	None	ambience Great food at REASONABLE prices, makes for an evening that can't be beat!
189	638	None	service Great food at REASONABLE prices, makes for an evening that can't be beat!
190	500	None	price Look foward to trying the Ruben upon returning.
191	500	Positive	anecdotes Look foward to trying the Ruben upon returning.
192	500	None	food Look foward to trying the Ruben upon returning.
193	500	None	ambience Look foward to trying the Ruben upon returning.
194	500	None	service Look foward to trying the Ruben upon returning.
195	1108	None	price The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
197	1108	None	food The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
198	1108	None	ambience The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
199	1108	None	service The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
200	3294	None	price We usually go to the Chart House to celebrate a birthday or anniversary.
202	3294	None	food We usually go to the Chart House to celebrate a birthday or anniversary.
203	3294	None	ambience We usually go to the Chart House to celebrate a birthday or anniversary.
204	3294	None	service We usually go to the Chart House to celebrate a birthday or anniversary.
205	388	Positive	price this little place has a cute interior decor and affordable city prices.
206	388	None	anecdotes this little place has a cute interior decor and affordable city prices.
207	388	None	food this little place has a cute interior decor and affordable city prices.
208	388	Positive	ambience this little place has a cute interior decor and affordable city prices.
209	388	None	service this little place has a cute interior decor and affordable city prices.
210	3070	None	price You'll adore it.
211	3070	Positive	anecdotes You'll adore it.
212	3070	None	food You'll adore it.
213	3070	None	ambience You'll adore it.
214	3070	None	service You'll adore it.
215	3373	Positive	price Two words: Free wine.
216	3373	None	anecdotes Two words: Free wine.
217	3373	None	food Two words: Free wine.
218	3373	None	ambience Two words: Free wine.
219	3373	None	service Two words: Free wine.
220	425	Positive	price The price is reasonable although the service is poor.
221	425	None	anecdotes The price is reasonable although the service is poor.
222	425	None	food The price is reasonable although the service is poor.
223	425	None	ambience The price is reasonable although the service is poor.
224	425	Negative	service The price is reasonable although the service is poor.
225	3192	None	price The quantity is also very good, you will come out satisfied.
226	3192	None	anecdotes The quantity is also very good, you will come out satisfied.
227	3192	Positive	food The quantity is also very good, you will come out satisfied.
228	3192	None	ambience The quantity is also very good, you will come out satisfied.
229	3192	None	service The quantity is also very good, you will come out satisfied.
230	1098	None	price I have been to Roth's twice and both times were very disappointing.
231	1098	Negative	anecdotes I have been to Roth's twice and both times were very disappointing.
232	1098	None	food I have been to Roth's twice and both times were very disappointing.
233	1098	None	ambience I have been to Roth's twice and both times were very disappointing.
234	1098	None	service I have been to Roth's twice and both times were very disappointing.
235	2173	None	price Worth visiting the 1st Ave spot because it is the original store.
236	2173	Positive	anecdotes Worth visiting the 1st Ave spot because it is the original store.
237	2173	None	food Worth visiting the 1st Ave spot because it is the original store.
238	2173	None	ambience Worth visiting the 1st Ave spot because it is the original store.
239	2173	None	service Worth visiting the 1st Ave spot because it is the original store.
240	391	None	price I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.
242	391	None	food I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.
243	391	None	ambience I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.
244	391	None	service I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.
245	263	None	price Raga's is a romantic, cozy restaurant.
246	263	None	anecdotes Raga's is a romantic, cozy restaurant.
247	263	None	food Raga's is a romantic, cozy restaurant.
248	263	Positive	ambience Raga's is a romantic, cozy restaurant.
249	263	None	service Raga's is a romantic, cozy restaurant.
250	2384	None	price The fried rice is amazing here.
251	2384	None	anecdotes The fried rice is amazing here.
252	2384	Positive	food The fried rice is amazing here.
253	2384	None	ambience The fried rice is amazing here.
254	2384	None	service The fried rice is amazing here.
255	2962	None	price Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.
256	2962	None	anecdotes Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.
257	2962	Positive	food Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.
258	2962	None	ambience Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.
259	2962	None	service Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.
260	3404	None	price it's a perfect place to have a amanzing indian food.
261	3404	None	anecdotes it's a perfect place to have a amanzing indian food.
262	3404	Positive	food it's a perfect place to have a amanzing indian food.
263	3404	None	ambience it's a perfect place to have a amanzing indian food.
264	3404	None	service it's a perfect place to have a amanzing indian food.
265	2599	None	price The place is so cool and the service is prompt and curtious.
266	2599	None	anecdotes The place is so cool and the service is prompt and curtious.
267	2599	None	food The place is so cool and the service is prompt and curtious.
268	2599	Positive	ambience The place is so cool and the service is prompt and curtious.
269	2599	Positive	service The place is so cool and the service is prompt and curtious.
270	673	None	price At the end you're left with a mild broth with noodles that you can slurp out of a cup.
271	673	None	anecdotes At the end you're left with a mild broth with noodles that you can slurp out of a cup.
272	673	Positive	food At the end you're left with a mild broth with noodles that you can slurp out of a cup.
273	673	None	ambience At the end you're left with a mild broth with noodles that you can slurp out of a cup.
274	673	None	service At the end you're left with a mild broth with noodles that you can slurp out of a cup.
275	648	Positive	price I just wonder how you can have such a delicious meal for such little money.
276	648	None	anecdotes I just wonder how you can have such a delicious meal for such little money.
277	648	Positive	food I just wonder how you can have such a delicious meal for such little money.
278	648	None	ambience I just wonder how you can have such a delicious meal for such little money.
279	648	None	service I just wonder how you can have such a delicious meal for such little money.
280	863	None	price The food was delicious but do not come here on a empty stomach.
281	863	None	anecdotes The food was delicious but do not come here on a empty stomach.
283	863	None	ambience The food was delicious but do not come here on a empty stomach.
284	863	None	service The food was delicious but do not come here on a empty stomach.
285	1623	None	price The wine list is excellent.
286	1623	None	anecdotes The wine list is excellent.
287	1623	Positive	food The wine list is excellent.
288	1623	None	ambience The wine list is excellent.
289	1623	None	service The wine list is excellent.
290	2177	None	price so garantuan that you can't fit them in a toaster.
291	2177	None	anecdotes so garantuan that you can't fit them in a toaster.
292	2177	Positive	food so garantuan that you can't fit them in a toaster.
293	2177	None	ambience so garantuan that you can't fit them in a toaster.
294	2177	None	service so garantuan that you can't fit them in a toaster.
295	430	None	price Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).
296	430	None	anecdotes Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).
297	430	Positive	food Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).
298	430	None	ambience Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).
299	430	None	service Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).
300	1101	None	price They wouldnt even let me finish my glass of wine before offering another.
301	1101	None	anecdotes They wouldnt even let me finish my glass of wine before offering another.
302	1101	None	food They wouldnt even let me finish my glass of wine before offering another.
303	1101	None	ambience They wouldnt even let me finish my glass of wine before offering another.
304	1101	Positive	service They wouldnt even let me finish my glass of wine before offering another.
305	1823	None	price I highly recommend the Sophia pizza.
306	1823	Positive	anecdotes I highly recommend the Sophia pizza.
307	1823	None	food I highly recommend the Sophia pizza.
308	1823	None	ambience I highly recommend the Sophia pizza.
309	1823	None	service I highly recommend the Sophia pizza.
310	324	None	price Whem asked, we had to ask more detailed questions so that we knew what the specials were.
311	324	None	anecdotes Whem asked, we had to ask more detailed questions so that we knew what the specials were.
312	324	None	food Whem asked, we had to ask more detailed questions so that we knew what the specials were.
313	324	None	ambience Whem asked, we had to ask more detailed questions so that we knew what the specials were.
314	324	Negative	service Whem asked, we had to ask more detailed questions so that we knew what the specials were.
315	2783	None	price This is a consistently great place to dine for lunch or dinner.
316	2783	Positive	anecdotes This is a consistently great place to dine for lunch or dinner.
317	2783	None	food This is a consistently great place to dine for lunch or dinner.
318	2783	None	ambience This is a consistently great place to dine for lunch or dinner.
319	2783	None	service This is a consistently great place to dine for lunch or dinner.
320	2983	None	price Nice atmosphere, the service was very pleasant and the desert was good.
321	2983	None	anecdotes Nice atmosphere, the service was very pleasant and the desert was good.
322	2983	Positive	food Nice atmosphere, the service was very pleasant and the desert was good.
323	2983	Positive	ambience Nice atmosphere, the service was very pleasant and the desert was good.
324	2983	Positive	service Nice atmosphere, the service was very pleasant and the desert was good.
325	66	None	price All the people that I bring there go back on their own and bring THEIR friends!
326	66	Positive	anecdotes All the people that I bring there go back on their own and bring THEIR friends!
327	66	None	food All the people that I bring there go back on their own and bring THEIR friends!
328	66	None	ambience All the people that I bring there go back on their own and bring THEIR friends!
329	66	None	service All the people that I bring there go back on their own and bring THEIR friends!
330	627	None	price After really enjoying ourselves at the bar we sat down at a table and had dinner.
331	627	Positive	anecdotes After really enjoying ourselves at the bar we sat down at a table and had dinner.
332	627	None	food After really enjoying ourselves at the bar we sat down at a table and had dinner.
333	627	None	ambience After really enjoying ourselves at the bar we sat down at a table and had dinner.
334	627	None	service After really enjoying ourselves at the bar we sat down at a table and had dinner.
335	3219	None	price Fabulous service, fantastic food, and a chilled out atmosphere and environment.
336	3219	None	anecdotes Fabulous service, fantastic food, and a chilled out atmosphere and environment.
337	3219	Positive	food Fabulous service, fantastic food, and a chilled out atmosphere and environment.
338	3219	Positive	ambience Fabulous service, fantastic food, and a chilled out atmosphere and environment.
339	3219	Positive	service Fabulous service, fantastic food, and a chilled out atmosphere and environment.
340	2934	None	price Not what I wanted to hear.
341	2934	Negative	anecdotes Not what I wanted to hear.
342	2934	None	food Not what I wanted to hear.
343	2934	None	ambience Not what I wanted to hear.
344	2934	None	service Not what I wanted to hear.
345	2787	None	price Try the lasagnette appetizer.
346	2787	None	anecdotes Try the lasagnette appetizer.
347	2787	Positive	food Try the lasagnette appetizer.
348	2787	None	ambience Try the lasagnette appetizer.
349	2787	None	service Try the lasagnette appetizer.
350	825	Negative	price Pricey, but worth a try, at least once.
351	825	Positive	anecdotes Pricey, but worth a try, at least once.
352	825	None	food Pricey, but worth a try, at least once.
353	825	None	ambience Pricey, but worth a try, at least once.
354	825	None	service Pricey, but worth a try, at least once.
355	197	None	price I've been there a few times, and I usually end up sitting next to some pretty odd people.
356	197	Negative	anecdotes I've been there a few times, and I usually end up sitting next to some pretty odd people.
357	197	None	food I've been there a few times, and I usually end up sitting next to some pretty odd people.
358	197	None	ambience I've been there a few times, and I usually end up sitting next to some pretty odd people.
359	197	None	service I've been there a few times, and I usually end up sitting next to some pretty odd people.
360	604	None	price I liked the beer selection!
361	604	None	anecdotes I liked the beer selection!
362	604	Positive	food I liked the beer selection!
363	604	None	ambience I liked the beer selection!
364	604	None	service I liked the beer selection!
365	2911	None	price Great food, good size menu, great service and an unpretensious setting.
366	2911	None	anecdotes Great food, good size menu, great service and an unpretensious setting.
367	2911	Positive	food Great food, good size menu, great service and an unpretensious setting.
368	2911	Positive	ambience Great food, good size menu, great service and an unpretensious setting.
369	2911	Positive	service Great food, good size menu, great service and an unpretensious setting.
370	3074	None	price Go here for a romantic dinner but not for an all out wow dining experience.
372	3074	None	food Go here for a romantic dinner but not for an all out wow dining experience.
373	3074	None	ambience Go here for a romantic dinner but not for an all out wow dining experience.
374	3074	None	service Go here for a romantic dinner but not for an all out wow dining experience.
375	1479	None	price Can't wait to go back.
376	1479	Positive	anecdotes Can't wait to go back.
377	1479	None	food Can't wait to go back.
378	1479	None	ambience Can't wait to go back.
379	1479	None	service Can't wait to go back.
380	1074	None	price I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
382	1074	None	food I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
383	1074	None	ambience I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
384	1074	None	service I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
385	912	None	price Wine list selection is good and wine-by-the-glass was generously filled to the top.
386	912	None	anecdotes Wine list selection is good and wine-by-the-glass was generously filled to the top.
387	912	Positive	food Wine list selection is good and wine-by-the-glass was generously filled to the top.
388	912	None	ambience Wine list selection is good and wine-by-the-glass was generously filled to the top.
389	912	None	service Wine list selection is good and wine-by-the-glass was generously filled to the top.
390	728	None	price With the great variety on the menu , I eat here often and never get bored .
391	728	None	anecdotes With the great variety on the menu , I eat here often and never get bored .
392	728	Positive	food With the great variety on the menu , I eat here often and never get bored .
393	728	None	ambience With the great variety on the menu , I eat here often and never get bored .
394	728	None	service With the great variety on the menu , I eat here often and never get bored .
395	2925	None	price The menu is very limited - i think we counted 4 or 5 entrees.
396	2925	None	anecdotes The menu is very limited - i think we counted 4 or 5 entrees.
397	2925	Negative	food The menu is very limited - i think we counted 4 or 5 entrees.
398	2925	None	ambience The menu is very limited - i think we counted 4 or 5 entrees.
399	2925	None	service The menu is very limited - i think we counted 4 or 5 entrees.
400	495	None	price If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.
401	495	Positive	anecdotes If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.
402	495	None	food If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.
403	495	None	ambience If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.
404	495	None	service If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.
405	3436	None	price The menu is limited but almost all of the dishes are excellent.
406	3436	None	anecdotes The menu is limited but almost all of the dishes are excellent.
408	3436	None	ambience The menu is limited but almost all of the dishes are excellent.
409	3436	None	service The menu is limited but almost all of the dishes are excellent.
410	3273	None	price Not too crazy about their sake martini.
411	3273	None	anecdotes Not too crazy about their sake martini.
412	3273	Negative	food Not too crazy about their sake martini.
413	3273	None	ambience Not too crazy about their sake martini.
414	3273	None	service Not too crazy about their sake martini.
415	1215	None	price Great bagels, spreads and a good place to hang out in.
416	1215	Positive	anecdotes Great bagels, spreads and a good place to hang out in.
417	1215	Positive	food Great bagels, spreads and a good place to hang out in.
418	1215	None	ambience Great bagels, spreads and a good place to hang out in.
419	1215	None	service Great bagels, spreads and a good place to hang out in.
420	183	None	price The service varys from day to day- sometimes they're very nice, and sometimes not.
421	183	None	anecdotes The service varys from day to day- sometimes they're very nice, and sometimes not.
422	183	None	food The service varys from day to day- sometimes they're very nice, and sometimes not.
423	183	None	ambience The service varys from day to day- sometimes they're very nice, and sometimes not.
425	2511	None	price whoever the jazz duo was, they were on POINT.
426	2511	None	anecdotes whoever the jazz duo was, they were on POINT.
427	2511	None	food whoever the jazz duo was, they were on POINT.
428	2511	Positive	ambience whoever the jazz duo was, they were on POINT.
429	2511	None	service whoever the jazz duo was, they were on POINT.
